year,metabolite,siteID,country,city,mon,tue,wed,thu,fri,sat,sun
2021,cocaine,CZ002,CZ,Budweis,70.5,52.69,57.46,45.7,46.97,48.37,80.73
2021,cocaine,CZ003,CZ,Karlovy Vary,43.87,52.39,54.41,59.13,79.5,90.47,68.16
2021,cocaine,CZ004,CZ,Ostrava,18.84,26.22,45.54,39.67,54.95,91.61,44.54
2021,cocaine,CZ005,CZ,Prague (2),221.83,202.84,191.59,220.63,239.46,306.81,295.65
2021,cocaine,DE008,DE,Chemnitz,26.66,20.18,20.36,0,3.73,05.03,33.8
2021,cocaine,DE009,DE,Dortmund,476.84,500.65,422.78,0,403.37,555.31,489.19
2021,cocaine,DE010,DE,Dresden,49.51,34.19,44.33,33.6,53.36,111.06,28.46
2021,cocaine,DE011,DE,Dülmen,117.67,116.5,208.14,246.64,237.83,305.28,220.66
2021,cocaine,DE012,DE,Erfurt,78.33,68.52,59.95,0,68.8,113.91,89
2021,cocaine,DE023,DE,Magdeburg,192.4,198.71,157.06,207.02,216.32,306.35,277.6
2021,cocaine,DE026,DE,Munich Gut Großlappen,266.98,223.77,201.41,0,195.42,334.3,215.67
2021,cocaine,DE028,DE,Nuremberg,68.39,51.58,47.23,0,75.22,93.97,87.09
2021,cocaine,DE030,DE,Saarbrücken (2),198.07,220.47,148.27,0,187.87,228.45,235.19
2021,cocaine,DK001,DK,Copenhagen,448.1,426.44,440.4,445.22,511.73,780.71,680.88
2021,cocaine,DK002,DK,Odense,320.27,288.36,208.32,316.01,320.29,362.63,250.16
2021,cocaine,EE001,EE,Narva,22.06,22.82,23.54,21.51,43.27,89.58,27.34
2021,cocaine,EE002,EE,Tartu,41.3,0,41.53,26.89,31.25,201.61,61
2021,cocaine,ES001,ES,Barcelona,532.14,706.15,475.89,509.79,607.85,905.12,920.7
2021,cocaine,ES002,ES,Castellon,547.65,565.89,528.97,516.73,415.39,444.18,686.83
2021,cocaine,ES005,ES,Santiago,433.3,337.03,382.53,615.27,699.87,592.04,768.73
2021,cocaine,FI001,FI,Espoo,40.35,24.27,27.43,27.45,37.6,62.58,70.76
2021,cocaine,FI003,FI,Helsinki,59.96,40.86,40.71,38.64,52.07,91.5,99.95
2021,cocaine,FI024,FI,Tampere,8.16,4.91,5.9,6.95,12.73,16.76,10.47
2021,cocaine,FI025,FI,Turku,11.05,6,4,6.53,6.97,17.89,20.71
2021,cocaine,FR005,FR,Paris Seine Centre,348.57,398.69,414.32,478.29,339.12,442.37,570.58
2021,cocaine,GB001,GB,Bristol,1137.43,601.04,409.93,0,0,798.02,1297.59
2021,cocaine,GR001,GR,Athens,79.58,98.84,84.15,87.54,104.84,106.77,109.23
2021,cocaine,HR001,HR,Zagreb,492,396.51,463.38,460.79,614.24,745.92,667.5
2021,cocaine,IT001,IT,Bozen,395.29,335.68,313.74,328.28,345.53,427.38,423.81
2021,cocaine,IT002,IT,Milan,337.71,334.72,368.15,382.98,413.25,444.71,415.53
2021,cocaine,LT001,LT,Kaunas,90.21,64.95,71.22,68.57,77.73,97.57,122.54
2021,cocaine,LT002,LT,Klaipeda,191.62,75.26,84.08,65.6,82.94,111.37,151.17
2021,cocaine,LT003,LT,Vilnius,106.48,90.06,96.91,0,102.83,160.71,192.8
2021,cocaine,LV001,LV,Riga,99.85,86.2,62.91,66.96,74.64,202.2,174.86
2021,cocaine,NL001,NL,Amsterdam,910.17,890.56,871.7,711.38,750.04,960.11,1113.89
2021,cocaine,NL002,NL,Eindhoven,678.76,602.43,479.08,531.18,556.65,583.12,934.03
2021,cocaine,NL005,NL,Utrecht,430.9,429.03,641.34,447.39,501.79,641.57,614.82
2021,cocaine,PL003,PL,Krakow P,48.01,42.43,51.82,56.63,64.4,106.17,100.91
2021,cocaine,PT001,PT,Almada,221.13,412.46,245.42,264.05,332.82,443.15,912.51
2021,cocaine,PT002,PT,Lisbon,482.33,371.7,474.89,450.49,481.54,588.27,654.12
2021,cocaine,PT003,PT,Porto,197.6,237.58,226.12,183.96,195.32,213.23,410.79
